State,Population,Area (Sq Miles),Density
Alabama,4833722,50744,95.25701560775659
Alaska,735132,571951.26,1.2853053247928854
Arizona,6626624,113634.57,58.315211647300636
Arkansas,2959373,52068.17,56.83650875381255
California,38332521,155959.34,245.78535020730405
Colorado,5268367,103717.53,50.795338068694846
Connecticut,3596080,4844.8,742.2556142668428
Delaware,925749,1953.56,473.8779459038883
District of Columbia,646449,61.4,10528.485342019545
Florida,19552860,53926.82,362.58136489412874
Georgia,9992167,57906.14,172.55798780578363
Hawaii,1404054,6422.62,218.6107850067418
Idaho,1612136,82747.21,19.48266291999452
Illinois,12882135,55583.58,231.76152021874086
Indiana,6570902,35866.9,183.20239552344918
Iowa,3090416,55869.36,55.31504209104955
Kansas,2893957,81814.88,35.372013012791804
Kentucky,4395295,39728.18,110.63418963566919
Louisiana,4625470,43561.85,106.18167042951573
Maine,1328302,30861.55,43.040676829258416
Maryland,5928814,9773.82,606.6015130215208
Massachusetts,6692824,7840.02,853.6743528715488
Michigan,9895622,56803.82,174.2069811502114
Minnesota,5420380,79610.08,68.08660410842445
Mississippi,2991207,46906.96,63.76893748816807
Missouri,6044171,68885.93,87.74173477805991
Montana,1015165,145552.43,6.974565797355633
Nebraska,1868516,76872.41,24.306718106014888
Nevada,2790136,109825.99,25.40506122457899
New Hampshire,1323459,8968.1,147.57406808577068
New Jersey,8899339,7417.34,1199.8019505644882
New Mexico,2085287,121355.53,17.183287815561435
New York,19651127,47213.79,416.21583439922955
North Carolina,9848060,48710.88,202.17372381693784
North Dakota,723393,68975.93,10.487615027445083
Ohio,11570808,40948.38,282.57059253626153
Oklahoma,3850568,68667.06,56.07591179817514
Oregon,3930065,95996.79,40.93954599940269
Pennsylvania,12773801,44816.61,285.02381148417965
Rhode Island,1051511,1044.93,1006.2980295330788
South Carolina,4774839,30109.47,158.58263197591987
South Dakota,844877,75884.64,11.133702419883654
Tennessee,6495978,41217.12,157.60387916477424
Texas,26448193,261797.12,101.02553076214132
Utah,2900872,82143.65,35.314622615381715
Vermont,626630,9249.56,67.74700634408556
Virginia,8260405,39594.07,208.62732727400845
Washington,6971406,66544.06,104.76376103291564
West Virginia,1854304,24077.73,77.01324003550168
Wisconsin,5742713,54310.1,105.73931920581991
Wyoming,582658,97100.4,6.000572603202459
